time;wx (rad/s);wy (rad/s);wz (rad/s)
5,042;-0,01;-0,05;-0,02
5,042;-0,01;-0,05;-0,02
5,043;-0,01;-0,04;-0,03
5,043;-0,00;-0,04;-0,03
5,043;-0,00;-0,03;-0,03
5,047;-0,00;-0,02;-0,04
5,051;-0,00;-0,00;-0,04
5,054;-0,01;0,01;-0,04
5,058;-0,01;0,02;-0,04
5,062;-0,02;0,02;-0,03
5,068;-0,02;0,03;-0,03
5,070;-0,02;0,03;-0,02
5,074;-0,02;0,04;-0,01
5,078;-0,03;0,04;-0,01
5,083;-0,03;0,04;0,00
5,086;-0,02;0,03;0,01
5,090;-0,02;0,02;0,01
5,094;-0,01;0,01;0,02
5,098;-0,01;0,01;0,02
5,108;-0,01;0,00;0,03
5,110;-0,01;0,00;0,03
5,110;-0,02;0,01;0,03
5,114;-0,02;0,02;0,03
5,144;-0,02;0,02;0,03
5,145;-0,03;0,03;0,03
5,145;-0,03;0,03;0,03
5,146;-0,03;0,03;0,02
5,147;-0,03;0,03;0,02
5,147;-0,03;0,03;0,02
5,147;-0,03;0,03;0,02
5,148;-0,03;0,03;0,02
5,153;-0,02;0,03;0,01
5,154;-0,02;0,03;0,01
5,158;-0,02;0,03;0,01
5,162;-0,02;0,03;-0,00
5,168;-0,01;0,03;-0,00
5,170;-0,01;0,02;-0,01
5,174;-0,01;0,02;-0,01
5,178;-0,00;0,02;-0,02
5,182;-0,00;0,02;-0,02
5,186;-0,00;0,01;-0,02
5,190;-0,00;0,01;-0,03
5,194;-0,01;0,01;-0,03
5,199;-0,01;0,00;-0,03
5,209;-0,01;-0,00;-0,03
5,210;-0,01;-0,01;-0,02
5,211;-0,01;-0,02;-0,02
5,214;-0,01;-0,02;-0,02
5,244;-0,01;-0,02;-0,02
5,245;-0,01;-0,01;-0,01
5,246;-0,02;-0,01;-0,01
5,246;-0,02;-0,01;-0,01
5,246;-0,02;-0,01;-0,01
5,247;-0,02;-0,01;-0,00
5,247;-0,02;-0,01;0,00
5,247;-0,02;-0,01;0,00
5,254;-0,02;-0,01;0,01
5,255;-0,01;-0,00;0,01
5,259;-0,01;0,00;0,01
5,262;-0,00;0,01;0,01
5,268;-0,00;0,02;0,01
5,271;0,00;0,02;0,00
5,274;0,00;0,02;0,00
5,278;0,01;0,02;0,00
5,283;0,01;0,01;0,01
5,287;0,01;0,01;0,01
5,291;0,01;0,01;0,01
5,294;0,01;0,01;0,01
5,299;0,01;0,00;0,01
5,310;0,01;0,00;0,01
5,311;0,01;0,00;0,01
5,311;0,00;-0,00;0,01
5,315;-0,00;-0,00;0,01
5,341;-0,00;-0,01;0,01
5,342;-0,00;-0,01;0,01
5,342;-0,00;-0,02;0,01
5,343;0,00;-0,02;0,01
5,343;0,00;-0,02;0,00
5,343;0,00;-0,02;0,00
5,344;0,00;-0,02;0,00
5,347;0,00;-0,01;0,00
5,352;-0,00;-0,01;-0,00
5,355;-0,01;-0,01;-0,01
5,359;-0,01;-0,01;-0,01
5,363;-0,01;-0,02;-0,01
5,369;-0,01;-0,02;-0,00
5,371;-0,00;-0,03;-0,00
5,375;0,01;-0,04;0,00
5,379;0,01;-0,04;0,01
5,383;0,02;-0,03;0,01
5,387;0,02;-0,03;0,01
5,391;0,03;-0,02;0,01
5,395;0,03;-0,01;0,01
5,400;0,03;-0,01;0,01
5,410;0,03;-0,01;0,01
5,411;0,03;-0,00;0,01
5,412;0,03;0,00;0,01
5,415;0,03;0,01;0,01
5,444;0,03;0,01;0,01
5,445;0,03;0,01;0,02
5,445;0,03;0,01;0,02
5,446;0,03;0,01;0,02
5,446;0,03;0,01;0,02
5,446;0,03;0,01;0,02
5,447;0,03;0,01;0,02
5,447;0,04;0,02;0,03
5,453;0,04;0,02;0,03
5,455;0,05;0,02;0,03
5,459;0,05;0,01;0,03
5,463;0,05;0,01;0,02
5,469;0,04;0,01;0,01
5,471;0,04;0,01;0,01
5,475;0,04;0,01;0,00
5,479;0,03;0,01;-0,00
5,486;0,02;0,00;-0,01
5,487;0,01;0,00;-0,01
5,491;0,00;-0,00;-0,02
5,495;-0,00;-0,00;-0,02
5,500;-0,01;-0,00;-0,02
5,503;-0,01;-0,00;-0,02
5,507;-0,01;-0,00;-0,02
5,511;-0,02;-0,00;-0,01
5,515;-0,02;-0,00;-0,01
5,528;-0,03;-0,00;-0,00
5,529;-0,03;-0,01;0,00
5,529;-0,03;-0,01;0,01
5,531;-0,02;-0,01;0,01
5,568;-0,02;-0,00;0,01
5,569;-0,01;0,00;0,01
5,570;-0,01;0,01;0,01
5,570;-0,00;0,01;0,01
5,570;0,00;0,01;0,00
5,571;0,01;0,02;0,00
5,571;0,01;0,02;0,00
5,571;0,01;0,02;0,01
5,571;0,01;0,01;0,01
5,573;0,01;0,00;0,01
5,576;0,01;-0,01;0,01
5,579;0,00;-0,02;0,01
5,583;0,00;-0,02;0,01
5,587;0,00;-0,03;0,01
5,591;0,01;-0,03;0,01
5,595;0,01;-0,03;0,01
5,599;0,01;-0,03;0,01
5,610;0,00;-0,03;0,00
5,612;0,00;-0,03;0,00
5,613;0,00;-0,02;0,00
5,615;0,00;-0,02;0,00
5,642;0,00;-0,02;0,00
5,643;0,00;-0,01;0,00
5,644;0,00;-0,00;0,00
5,644;0,00;0,00;0,01
5,644;0,00;0,01;0,01
5,644;-0,00;0,01;0,01
5,644;-0,00;0,02;0,01
5,648;-0,01;0,02;0,01
5,652;-0,01;0,02;0,01
5,655;-0,01;0,02;0,01
5,659;-0,01;0,02;0,01
5,663;-0,01;0,02;0,01
5,669;-0,00;0,01;0,01
5,672;0,00;0,01;0,01
5,675;0,01;-0,00;0,01
5,679;0,02;-0,01;0,01
5,684;0,02;-0,01;0,01
5,688;0,03;-0,01;0,00
5,691;0,04;-0,01;0,00
5,696;0,04;-0,00;-0,00
5,701;0,05;0,00;-0,00
5,711;0,05;0,02;-0,01
5,712;0,04;0,03;-0,01
5,713;0,02;0,05;-0,01
5,716;0,01;0,06;-0,01
5,747;-0,01;0,06;-0,01
5,748;-0,02;0,04;-0,01
5,749;-0,03;0,03;-0,00
5,749;-0,03;0,01;-0,00
5,750;-0,03;0,00;-0,00
5,750;-0,03;-0,01;-0,00
5,751;-0,03;-0,01;-0,01
5,751;-0,02;-0,02;-0,01
5,754;-0,02;-0,02;-0,01
5,756;-0,01;-0,03;-0,02
5,760;-0,01;-0,03;-0,02
5,764;-0,01;-0,04;-0,02
5,769;-0,00;-0,04;-0,02
5,772;0,00;-0,05;-0,01
5,776;0,00;-0,05;-0,01
5,780;0,01;-0,05;-0,01
5,786;0,01;-0,05;-0,01
5,788;0,01;-0,05;-0,01
5,792;0,02;-0,05;-0,01
5,796;0,01;-0,05;-0,00
5,800;0,01;-0,04;-0,00
5,805;0,01;-0,04;0,00
5,808;0,00;-0,04;0,00
5,813;0,00;-0,04;0,00
5,816;-0,00;-0,04;-0,00
5,830;-0,01;-0,04;-0,00
5,831;-0,01;-0,04;-0,00
5,832;-0,01;-0,05;-0,00
5,832;-0,02;-0,06;-0,00
5,863;-0,02;-0,07;-0,00
5,864;-0,02;-0,08;-0,00
5,865;-0,01;-0,10;0,00
5,865;-0,01;-0,11;0,00
5,865;-0,01;-0,11;0,00
5,866;-0,01;-0,12;0,00
5,866;-0,00;-0,13;-0,00
5,866;-0,00;-0,14;0,00
